Karmarkar-Karp,Repeated Random,Hill Climb,Simulated Annealing,Preprocessing Repeated Random,Preprocessing Hill Climb,Preprocessing Simulated Annealing
251511,369705305,448844549,1573206711,109,39,3553
323625,273672485,87904731,436423599,113,1111,377
494373,231432067,1879600681,658840149,59,785,723
156301,93694693,891349355,691335379,91,1449,165
16788,94766234,77690110,290356942,66,320,566
378398,665366076,75872870,1086604300,40,1862,684
138565,125303811,1262345825,60611971,987,537,159
57540,127999618,10028160,383112176,16,16,730
180607,217706417,682346773,861888029,45,703,4611
2098996,349176210,983011446,105096366,172,138,488
270798,16490932,625239040,1111659714,150,200,86
535304,453527546,927650172,754982870,244,602,5720
2677928,610195742,247211488,21628616,134,64,768
59708,379209440,91485116,349791494,58,386,438
5539,67466765,11362585,295313077,129,359,1943
9049,376788807,172206419,316414689,29,119,975
218152,168472888,759060106,533078496,2,136,196
57981,16882477,863264739,637888887,109,481,1049
166132,215860922,904972334,174082136,42,146,2524
8680,262335544,307076946,76542348,86,892,102
2647677,352795909,139730675,274130085,245,153,199
150241,332017433,1544527197,392407471,165,505,1777
8763,171557025,177172841,132891185,135,1817,367
195163,76584141,11530227,107406713,117,3527,147
99972,281499200,301272024,225966518,166,1082,210
5133,10848219,118162917,193869445,131,463,1597
119603,172172599,130156769,509573351,247,59,1159
8603,290299997,158933125,335156853,291,871,625
53577,441041283,72059925,603181543,385,1609,1779
409262,598096806,861060080,4263604892,164,1896,270
70438,727788204,118920498,79127580,372,1442,892
548121,275735219,448804693,505702543,111,901,237
135826,48232594,268144048,1350151694,82,128,478
149372,88211654,27497448,1242252660,570,1274,1176
51101,440651685,1964304171,1292386973,557,2837,151
78622,256250066,504990614,830565274,116,116,412
100023,445893555,567325627,12466441,109,111,597
164983,81380561,88000295,42416553,109,371,877
98821,80885217,545942699,1061919833,81,567,1253
834831,153507301,351375117,275799939,203,1065,4267
31069,386584551,40331379,1202067957,39,205,159
81044,302348610,616218330,151976332,100,18,438
1136756,278302340,1619248588,573156006,298,964,1468
5022,460743032,354931270,830317068,86,496,632
3727,36430051,136341397,324790325,45,1585,2629
288702,571136366,520629836,118055328,296,1184,178
101425,18051943,30569855,123162055,137,8037,891
106038,78471276,443391136,1651097424,66,326,168
189255,416135079,110307173,255115077,233,1509,239
73937,57388901,172600771,229114685,81,385,291
