Karmarkar-Karp,Repeated Random,Hill Climb,Simulated Annealing,Preprocessing Repeated Random,Preprocessing Hill Climb,Preprocessing Simulated Annealing
33798,300353794,118851090,116149586,32,1900,4
107052,148456544,121254074,20222714,40,716,186
115524,228114268,66525348,167439000,54,80,76
41211,241805713,612183415,69290971,133,203,165
604741,352910131,2168669,1144648801,583,817,267
549374,12420576,158666886,416490054,12,410,174
32384,313948090,224272818,546509484,100,294,354
618699,113581833,680555351,191858265,481,383,55
700324,99360788,276034778,414959008,50,24,6
236856,95378548,116063766,183118734,160,1898,10
14002,16352476,140974870,96568094,602,172,24
110396,231883076,613564278,435492760,6,168,60
53404,220354800,390278494,79481768,14,438,594
42772,300934786,305501652,107909520,40,1048,38
31036,104320880,24821132,481921544,230,74,464
13439,295680115,310540091,17094459,53,1223,103
10950,444161800,336043964,20975406,142,1118,14
266506,447568632,181552680,41953220,40,376,162
45296,649415084,504304,291541834,254,140,178
27690,656115442,47281048,432927428,166,1690,236
942845,171081279,27761085,106761199,337,1517,227
250901,297224905,94004637,262133431,191,295,27
88864,246016948,6420092,60300408,68,1938,34
91737,132229619,1207213897,96290317,949,373,97
103658,366042428,204765028,144532652,0,490,22
9210,318484788,109806156,33422276,462,3002,118
98558,18214148,94343256,163020652,218,112,272
33067,510415127,727105703,792530875,33,123,31
128293,491129877,296702107,397427533,109,737,285
488173,640436125,180172879,26989901,189,187,35
492043,2349818251,21368561,88157413,35,519,5
584365,50619085,94869931,162372469,55,999,205
90779,496060873,855267453,361028999,55,503,325
38700,141413756,204038478,202572612,22,148,6
109009,37114757,136365425,6766387,15,521,221
73215,381817959,330711445,1300233569,159,375,57
501315,70778097,1100567065,49592955,157,1113,347
2284,96249280,132151814,1654637124,186,212,176
1438,8677436,862266410,711187598,76,260,134
70693,279298107,158317305,72155177,29,5,347
253334,91254192,1585433666,124786086,44,1086,62
244733,377998001,250467963,612435171,421,1213,95
84993,137267455,240348369,537381903,247,649,107
23689,35692433,91902049,434229521,253,243,261
132255,38435423,174154769,771230347,185,327,81
9420,467775234,36529948,289393698,28,936,60
28625,238063595,630402577,298580769,7,37,147
63475,261454129,897925995,354754311,181,671,101
349122,186347614,930206294,178544380,88,8,318
109529,251971467,250025325,78223897,19,225,91
